Title,Date,Author,Content
"Hasil Sprint Race MotoGP Qatar 2024: Martin Pemenang, Marquez Ke-5","Kompas.com- 09/03/2024, 23:27 WIB","Farahdilla Puspa,Firzie A. Idris",pebalap pramac racingjorge martin pemenang sprint racemotogp qatar sirkuit lusail sabtu malam wib jorge martin berhak poin finis mengungguli brad binder ktm aleix espargaro aprilia marc marquez sprint race urutan kelimamotogp qatar menggelar balapan utama senin wib pebalap pramac racing jorge martin memulaisprint race motogpqatar posisi terdepan baca jugahasil kualifikasi motogp qatar martin rebut pole position runnerupmotogp diikuti aleix espargaro aprilia enea bastianini ducati berurutan start posisi brad binder ktm start urutan keempat disusul juara dunia francesco bagnaia ducati menempati p tangkapan layarpebalap pramac racing jorge martin memimpin lap sprint race motogp qatar sabtu malam wib marc marquez membalap gresini racing posisi keenam empatriderlain posisi terdepan fabio giannantonio vr racing team pedro acosta gasgas tech alex marquez gresini racing maverick vinales aprilia apresiasi patut dilayangkan acosta debutnya kelas premier kejuaraan dunia baca jugamarquez berhasrat lewati gelar juara motogp milik valentino rossi brad binder langsung tancap gas urutan lampu hijau tanda balapan menyala pebalap terdepan lap martin binder espargaro bagnaia bastianini marc marquez turun urutan tujuh insiden lap fabio giannantonio terjatuh lintasan melanjutkan persaingan podium sprint race martin memimpin balapan lap berjarak detik binder mengejar urutan baca jugadaftar lengkap pebalap motogp balapan menyisakan lap martin kian menjauh binder marquez perlahan posisi keempat juara dunia motogp enam kali tertinggal detik bagnaia marquez melebar ruang espargaro menyalip espargaro berhasil membalap bagnaia mengunci posisi ketiga padasprint race motogp qatar jorge martin pemenang sprint race motogp qatar disusul brad binder finis sebagairunnerup
MotoGP Mandalika yang Masih Tak Bersahabat bagi Marc Marquez,"Kompas.com- 15/10/2023, 18:07 WIB",Ervan Yudhi Tri Atmoko,motogp mandalika bersabahat bagimarc marquez terkini pebalap repsol honda kali gagal finis mandalika hasil buruk diraih marc marquez motogp indonesia digelar mandalika international street circuit lombok nusa tenggara barat balapan utama dilangsungkan minggu siang wib marquez bertahan tujuh lap juara dunia motogp enam kali gagal finis terjatuh coba melibas tikungan sirkuit mandalika hasil menambah derita marquez mandalika sehari melakoni sprint race mengalami crash lomba genap putaran an early bath on saturday formarcmarquez hes out on lap indonesiangppictwittercompmuusgjo gagal meraih poin mandalika terbilang mengecewakan marquez bekal podium ketiga seri motegi jepang pekan rumit marquez balapan dikutip laman resmi honda baca jugamotogp mandalika marc marquez jatuh tikungan marc marquez gagal balapan mandalika mengalami rentetan kecelakaan sesi latihan bebas pemanasan puncak nasib buruk marquez mandalika terjatuh pemanasan jelang balapan akibat kecelakaan juara dunia motogp enam kali dilarikan rumah sakit mataram mengikuti balapan teraktual marc marquez musim pindah gresini gagal meraih poin mandalika terjatuh saatsprint racedan balapan utama adapunmotogp mandalika dimenangi pebalap ducati francesco bagnaia bagnaia berhasil memanfaatkan nasib sial jorge martin terjatuh memimpin lomba lap nasib martin benarbenar sial motogp mandalika iacrashsaat memimpin lomba jarak detik lawannya baca jugahasil motogp mandalika bagnaia menang puncak jatuhnya jorge martin dimanfaatkan sempurna bagnaia menyalip maverick vinales terbendung pebelap menyentuh finis bagnaia memenangi balapan utama motogp mandalika total menit detik finis jarak detik vinales menempati urutan podium ketiga ditempati pebalap monster energy yamaha fabio quartararo kemenangan mandalika bagnaia puncak klasemen motogp nilai unggul poin jorge martin menghuni peringkat
"Klasemen MotoGP Usai GP Belanda 2024, Jorge Martin Masih Teratas","Kompas.com- 30/06/2024, 21:02 WIB","Farahdilla Puspa,Eris Eka Jaya",pebalap pramac racingjorge martin menempati puncakklasemen motogp balapan belanda jorge martin finis dimotogp belanda sirkuit assen minggu malam wib martin francesco bagnaia ducati pemenang motogp belanda enea bastianini ducati finis posisi ketiga podium belanda martin tambahan poin mencatatkan poin posisi klasemen baca jugahasil motogp belanda bagnaia sempurna ducati raja assen keberhasilan bagnaia maraih podium juara dunia memangkas jarak martin bagnaia tertinggal poin tambahan total poin kemanangan sprint race balapan utamamotogp belanda menambah poin bagnaia berhasil menyamai rekor mantan pebalap casey stoner mencatatkan kemenangan ducati marc marquez gresini racing posisi ketiga poin finis keempat belanda baca jugabagnaia fokus jaga keharmonisan ducati marquez mengacau posisi bastianini berubah bertahan urutan keempat poin disusul maverick vinales mengoleksi poin pebalap beraksi lintasan pekan motogp jerman sachsenring juli
MotoGP Indonesia 2023 Tingkatkan Sektor Pariwisata Daerah,"Kompas.com- 14/10/2023, 21:31 WIB","Ahmad Zilky,Aloysius Gonsaga AE",motogpindonesia bergulir disirkuit mandalikaberdampak positif sektor pariwisata daerah motogp indonesia sirkuit mandalika lombok nusa tenggara barat ntb oktober asisten setda kabupaten lombok h lendek jayadi terrdapat ratusan pelaku usaha mikro menengah umkm berpartisipasi motogp indonesia umkm sirkuit umkm lendek rilis diterimakompascom baca jugamarquez crash sprint race motogp mandalika salah sirkuit lokasi bazar mandalika umkm menjual makanan menjual kerrajinan anyaman ketak keberadaan ragam kuliner kriya khas ntb pariwisata daerah kian terkenal pembalap membeli produk umkm langsung diposting media sosial masingmasing viral landek landek wisatawan lokal mancanegara menikmati suasana balapan keindahan alam makanan khas baca jugamarc marquez dukung jorge martin juara dunia motogp tujuh desa wisata lingkar kawasan ekonomi khusus kek mandalika menyajikan beragam atraksi budaya penontonmotogp mandalika menikmati side event terbagi zona zona merdeka zona bhinneka zona tropika zona pusaka umkm binaan gelaran pertamina grand prix of indonesia umkm produk makanan minuman meramaikan area booth zona bhinneka zona a berdekatan north tunnel landek umkm zona b menyediakan kerajinan cendera mata khas lombok umkm penjuru nusantara imbuh
"Hasil Kualifikasi MotoGP Valencia 2023: Vinales Pole, Bagnaia Start Ke-2","Kompas.com- 25/11/2023, 18:50 WIB","Muhammad Reza Triatmodjo,Sem Bagaskara",hasil kualifikasimotogp valencia memunculkan maverick vinales peraihpole positionfrancesco bagnaiaberada posisi maverick vinales meraihpole positiondengan mencetak tercepat sesi kualifikasi motogp valencia sirkuit ricardo tormo valencia sabtu vinales menuai catatan menit detik berselisih detik francesco bagnaia ducati posisi front rowalias baris motogp valencia dilengkapi johann zarco pramac racing peringkat pencatat tercepat sisi pesaing bagnaia kejuaraan dunia motogp jorge martin pramac racing rela start posisi keenam sprint race balapan motogp valencia baca jugamotogp valencia tensi martin bagnaia meninggi sesi kualifikasi motogp valencia bagnaia performa tajam urutan jorge martin menduduki posisi pit sesi kualifikasi bagnaia langsung kecepatannya mencatat tercepat menit detik mempertajam catatan menit detik tersisa menit vinales berhasil menggeser posisi bagnaia mencatat menit detik catatan vinales tercepat sesi kualifikasi motogp valencia disusul torehan bagnaia start posisi keunggulan berharga bagnaia bersaing sengit jorge martin perebutan gelar juara dunia motogp bagnaia memuncaki klasemen motogp mengumpulkan poin unggul poin jorge martin menempati posisi sang pebalap italia menajamkan keunggulan sesi sprint race motogp valencia digelar sabtu wib melansircrash bagnaia juara dunia motogp sesi sprint race malam andai menuai poin jorge martin peccobagnaiaon the front rowend of second row forjorgemartin will we see themotogptitle decided in thetissotsprint not long until we find out valenciagppeccovsmartinpictwittercommpucyyvkqo
"Link Live Streaming MotoGP Qatar 2023, Sprint Race Pukul 00.00 WIB","Kompas.com- 18/11/2023, 22:30 WIB","Farahdilla Puspa,Sem Bagaskara",sprint racemotogpqatar sirkuit lusail doha minggu wib aksi pebalap disaksikan melaluilink live streamingmotogp qatar tersedia pebalap mooney vr luca marini balapan urutan duaridergresini racing fabio giannantonio alex marquez luca marini berhak mengisi posisi terdepan tercepat kualifikasimotogp qatar malam baca jugajadwal motogp qatar sprint race digelar baris posisi start motogp qatar diisi francesco bagnaia ducati jorge martin pramac racing johann zarco pramac racing bagnaia martin memperebutkan gelar juara dunia motogp pebalap terpaut poin klasemen puncak klasemen motogp diisi bagnaia poin martin mengejar peringkat koleksi poin dilansir laman motogp hasil sprint race menentukan nasib bagnaia keunggulan poin mendekatkan bagnaia podium juara baca jugaklasemen motogp gp malaysia bagnaia menjauh kejaran jorge martin skenario bagnaia tinggal memperlebar jarak balapan utama minggu poin mengunci gelar juara dunia sprint race motogpqatar disiarkan langsung trans wib disaksikan tayanganstreamingberikut link link
"Hasil MotoGP Spanyol 2024: Bagnaia Hattrick Menang di Jerez, Marquez Kedua","Kompas.com- 28/04/2024, 19:48 WIB","Leonardo Juan Ruiz Febrian,Eris Eka Jaya",francesco bagnaia ducati pemenang dimotogpspanyol marc marquezgresini marco bezzecchi vr finis urutan ketiga bagnaia berhasil mencetakhattrickkemenangan balapan motogp spanyol berkat kemenangan pecco mengemas poin terpaut angka martin puncak klasemen motogp balapan bergulir sirkuit jerez minggu putaran rekor ajang motogp ribu penonton menghadirimotogp spanyol marc marquez balapan urutan terdepan langsung memimpin jalannya balap putaran francesco bagnaia ducati balap urutan berhasil melewati marquez putaran baca jugamartin terkejut lihat marc marquez jatuh sprint race motogp spanyol after a stunning double overtakepeccobagnaiatakes the lead frommarcmarquez but the spaniard is not done asjorgemartinalso joins the fight spanishgppictwittercommzknltizl jorge martinpramac menguntit bagnaia posisi menyalip marquez putaran martin mengambil alih posisi bagnaia putaran ketiga setelahriderasal italia melebar dani pedrosa terjatuh putaran keempat tikungan marco bezzecchi vr melewati marquez posisi putaran jorge martin memimpin terjatuh putaran tikungan keenam bagnaia memimpin urutan diikuti bezzecchi marquez baca jugahasil sprint race motogp spanyol jorge martin menang marquez jatuh jorgemartingoes down at t neverending drama here in jerez andpeccobagnaiainherits the lead spanishgppictwittercomnvihyfneuf baby allien juliukan marquez merebut urutan bezzecchi putaran memasuki tikungan menunggu momentum belakangnya sembilan putaran tersisa marquez mencoba memangkas jarak bagnaia terpaut detik memasuki putaran franco morbidelli pramac jack miller ktm jatuh berbarengan sektor morbidelli mencoba melewati miller terjatuh menyeret pebalap ktm marquez mendekati bagnaia gagal melewatinya putaran
"Hasil FP1 MotoGP Portugal 2024: Marquez Tercepat, Putaran Terakhir Melesat","Kompas.com- 22/03/2024, 18:43 WIB",Sem Bagaskara,hasil fpmotogpportugal memunculkan namamarc marquezsebagai tercepat maverick vinales brad binder sesi fp motogp portugal digelar sirkuit portimao jumat petang wib marquez mencatakan putaran terbaik menit plus detik putaran terbaiknya muncul detikdetik sesi fp motogp portugal periode sesi fp motogp portugal andalan red bull ktm brad binder memuncaki daftar pebalap tercepat baca jugamotogp qatar marquez podium rasakan frustrasi pebalap afrika selatan catatan menit detik putaran marquez sukses mengambil alih posisi binder binder melorot posisi ketiga catatan disalip pebalap aprilia maverick vinales berjarak detik marquez alhasil posisi teratas sesi fp motogp portugal diisi marc marquez vinales binder sang juara bertahan francesco bagnaia terlempar persisnya posisi sisi kampiun motogp fabio quartararo tingkat bagnaia urutan hasil potensi marquez tim barunya gresini racing seri motogp qatar silam pebalap spanyol tercepat sesi fp marquez finis posisi sesi sprint race motogp qatar baca jugaklasemen motogp bagnaia marquez bersaing kiprah apik berlanjut balapan utama marquez berjarak setingkat podium peringkat marquez peringkat klasemen motogp bekal poin
"Hasil MotoGP Portugal 2024: Martin Terdepan, Bagnaia-Marquez Tabrakan","Kompas.com- 24/03/2024, 21:46 WIB","Farahdilla Puspa,Sem Bagaskara",pebalap pramac racing jorge martin pemenangmotogpportugal sirkuit algarve portimao minggu malam wib jorge martin melewati bendera finis dikibarkan pelatih kawakan jose mourinho mengungguli enea bastianini ducati pedro acosta gasgas tech berkat kemenangan jorge martin memimpin klasemen motogp poin baca jugahasil sprint race motogp portugal vinales pemenang marquez jalannya balapan francesco bagnaia start posisi keempat melesat urutan balapan langsung disalip jorge martin tikungan martin memimpin lap mengungguli maverick vinales enea bastianini bagnaia turun posisi keempat insiden balapan putaran pebalap terjatuh franco morbidelli alex marquez raul fernandez baca jugamarc marquez bicara menemukan kecepatan portimao franco morbidelli lintasan alex marquez raul fernandez gagal finis periode pebalap terdepan jorge martin maverick vinales enea bastianini francesco bagnaia marc marquez marquez unggul detik brad binder bersaing ketat pedro acosta posisi keenam pebalap jack miller duo monster energy yamaha fabio quartararo alex rins baca jugakeluhan quartararo progres motor yamaha diterima pedro acosta menembus menyalip duaridersekaligus brad binder marc marquez pebalaprookieitu membidik bagnaia depannya memperkecil jarak bagnaia detik acosta menyalip bagnaia tikungan lap melebar bagnaia menyalipnya menyalip bagnaia lap juara bertahan motogp bagnaia marquez terlibat insiden tikungan menjelang balapan bagnaia manuver menyenggol marquez pebalap terseret gravel melanjutkan balapan vinales berjuang podium ketiga tergelincir insiden pedro acosta finis ketiga jorge martin enea bastianini
"Hasil FP1 MotoGP Amerika 2024: Vinales Tercepat, Marquez di Luar 5 Besar","Kompas.com- 12/04/2024, 23:40 WIB","Ahmad Zilky,Sem Bagaskara",rideraprilia racingmaverick vinales tercepat sesi latihan bebas fpmotogpamerika sesi fpmotogp amerika circuit of the americas cota austin texas jumat malam wib vinales mengemas catatan terbaik sesi latihan bebas motogp amerika torehan menit detik jorge martin pramac racing pedro acosta red bull gasgas membuntuti posisi ketiga baca jugajadwal motogp amerika april balapan martin mengantongi selisih detik pedro acosta berjarak detik vinales menempati urutan enea bastianini ducati lenovo team marco bezzecchi vr racing team melengkapi fp motogp amerika marcmarquezgresini racing menorehkan hasil memuaskan peringkat delapan fp motogp amerika marquez mencatatkan putaran terbaik menit detik sesi latihan bebas motogp amerika baca jugamotogp portugal marquez kesal bagnaia insiden
